incident_severity,insured_hobbies,incident_type,collision_type,incident_state,authorities_contacted,property_claim,vehicle_claim,policy_annual_premium,insured_zip,policy_number,total_claim_amount,months_as_customer,injury_claim,age,insured_occupation,capital-gains,fraud_reported
Minor Damage,yachting,Multi-vehicle Collision,Side Collision,WV,Police,3520,24640,1319.81,613587,265437,31680,70,3520,28,machine-op-inspct,67200,N
Trivial Damage,kayaking,Parked Car,?,WV,Police,20,70,1482.53,620358,266247,100,89,10,32,tech-support,49100,N
Minor Damage,bungie-jumping,Single Vehicle Collision,Front Collision,WV,Fire,6260,43820,1328.18,617699,921851,56340,458,6260,61,protective-serv,53000,N
Total Loss,skydiving,Multi-vehicle Collision,Rear Collision,NC,Police,6340,57060,1463.95,430567,488724,69740,239,6340,40,sales,0,N
Total Loss,exercise,Multi-vehicle Collision,Front Collision,WV,Police,15120,40320,1133.85,439870,192524,60480,161,5040,38,priv-house-serv,60200,N
Minor Damage,skydiving,Multi-vehicle Collision,Rear Collision,NC,Police,13480,60660,1037.32,438837,338070,80880,446,6740,61,tech-support,0,N
Total Loss,dancing,Single Vehicle Collision,Front Collision,WV,Fire,4490,35920,1562.8,458997,865607,49390,476,8980,61,handlers-cleaners,42800,N
Minor Damage,video-games,Single Vehicle Collision,Front Collision,NC,Ambulance,11560,46240,1425.79,604147,963285,69360,70,11560,29,armed-forces,62400,N
Minor Damage,board-games,Vehicle Theft,?,NY,,680,2380,1615.14,606638,728491,3740,233,680,41,tech-support,67100,N
Trivial Damage,bungie-jumping,Parked Car,?,NY,,920,3680,1236.5,619620,553436,5060,122,460,33,other-service,0,N
Total Loss,chess,Multi-vehicle Collision,Front Collision,WV,Police,6520,26080,1017.97,441671,440616,35860,335,3260,48,machine-op-inspct,59900,Y
Major Damage,cross-fit,Multi-vehicle Collision,Front Collision,NY,Ambulance,3850,38500,1306.0,610381,463237,50050,257,7700,40,machine-op-inspct,46100,Y
Minor Damage,dancing,Multi-vehicle Collision,Rear Collision,NY,Fire,5370,42960,1174.14,602416,753452,59070,85,10740,27,priv-house-serv,50400,N
Minor Damage,board-games,Multi-vehicle Collision,Front Collision,SC,Fire,3160,22120,1231.01,459562,920554,28440,133,3160,30,adm-clerical,0,N
Major Damage,hiking,Single Vehicle Collision,Front Collision,OH,Fire,8280,28980,1299.18,463271,594783,45540,119,8280,34,tech-support,57100,Y
Minor Damage,reading,Single Vehicle Collision,Rear Collision,VA,Fire,3870,27090,1469.75,458132,725330,38700,169,7740,34,sales,0,N
Trivial Damage,paintball,Parked Car,?,SC,,530,4240,1390.72,448949,607259,5830,225,1060,39,tech-support,83900,N
Total Loss,cross-fit,Single Vehicle Collision,Rear Collision,NY,Other,9540,42930,1694.09,603732,979336,57240,84,4770,32,prof-specialty,0,Y
Total Loss,exercise,Multi-vehicle Collision,Rear Collision,VA,Police,8400,33600,1140.15,608929,865201,46200,169,4200,39,armed-forces,0,N
Total Loss,kayaking,Single Vehicle Collision,Side Collision,NY,Ambulance,5770,46160,1310.71,469875,140977,57700,124,5770,32,farming-fishing,29300,N
Minor Damage,hiking,Multi-vehicle Collision,Front Collision,WV,Fire,9360,42120,1730.49,443342,787351,56160,320,4680,48,transport-moving,46300,N
Total Loss,movies,Multi-vehicle Collision,Side Collision,WV,Fire,5550,33300,1616.65,456363,272330,44400,297,5550,47,adm-clerical,0,N
Major Damage,reading,Single Vehicle Collision,Rear Collision,NY,Ambulance,8430,67440,1935.85,470826,728025,92730,421,16860,56,machine-op-inspct,49500,Y
Minor Damage,paintball,Single Vehicle Collision,Side Collision,NC,Fire,6140,21490,855.14,458582,804608,30700,136,3070,33,craft-repair,37900,N
Major Damage,yachting,Single Vehicle Collision,Side Collision,NY,Fire,5660,39620,1568.47,454480,718829,56600,46,11320,24,armed-forces,46800,N
Trivial Damage,dancing,Parked Car,?,VA,,660,2640,1550.53,435632,482404,3960,34,660,24,armed-forces,0,N
Minor Damage,video-games,Single Vehicle Collision,Rear Collision,SC,Police,6960,24360,1370.92,442206,331170,34800,95,3480,30,transport-moving,48900,N
Minor Damage,kayaking,Multi-vehicle Collision,Rear Collision,NY,Other,7950,63600,1363.59,468303,753056,79500,140,7950,36,armed-forces,43200,N
Total Loss,basketball,Single Vehicle Collision,Front Collision,NY,Police,5600,44800,828.42,467762,910365,56000,200,5600,34,prof-specialty,0,N
Minor Damage,chess,Single Vehicle Collision,Rear Collision,NC,Ambulance,0,56980,1209.63,447188,379268,73260,123,16280,29,machine-op-inspct,64800,Y
Trivial Damage,base-jumping,Parked Car,?,WV,,450,3600,1111.17,469438,362843,4950,267,900,46,craft-repair,35000,N
Minor Damage,kayaking,Single Vehicle Collision,Rear Collision,WV,Ambulance,9600,33600,989.97,462519,135400,48000,290,4800,42,machine-op-inspct,32500,N
Major Damage,dancing,Single Vehicle Collision,Side Collision,SC,Fire,5220,36540,1114.23,432534,798579,52200,45,10440,37,prof-specialty,0,N
Minor Damage,dancing,Multi-vehicle Collision,Rear Collision,NY,Ambulance,12300,49200,1347.31,436467,250833,73800,186,12300,38,protective-serv,80900,N
Total Loss,base-jumping,Single Vehicle Collision,Side Collision,NC,Fire,7820,54740,1687.53,465674,824116,78200,135,15640,34,protective-serv,0,N
Major Damage,bungie-jumping,Single Vehicle Collision,Rear Collision,VA,Ambulance,9200,32200,1183.48,442389,322613,55200,110,13800,33,other-service,0,Y
Total Loss,kayaking,Multi-vehicle Collision,Side Collision,NY,Other,6340,44380,1537.13,471614,871305,57060,259,6340,43,handlers-cleaners,0,N
Minor Damage,dancing,Vehicle Theft,?,WV,,520,3640,1173.25,442936,488037,4680,114,520,30,protective-serv,0,N
Minor Damage,cross-fit,Single Vehicle Collision,Front Collision,VA,Ambulance,5310,42480,1361.16,437944,485813,53100,404,5310,56,transport-moving,0,Y
Minor Damage,video-games,Vehicle Theft,?,WV,,320,2560,1422.56,473705,886473,3520,282,640,48,prof-specialty,26900,N
Total Loss,dancing,Multi-vehicle Collision,Front Collision,VA,Ambulance,14580,43740,1143.06,469363,907113,72900,57,14580,25,tech-support,63100,N
Total Loss,camping,Single Vehicle Collision,Rear Collision,SC,Police,14140,49490,1405.71,465376,833321,70700,215,7070,38,craft-repair,0,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Side Collision,SC,Other,10940,43760,1354.2,438775,521592,60170,140,5470,30,adm-clerical,100500,N
Major Damage,paintball,Single Vehicle Collision,Rear Collision,SC,Other,6800,54400,1055.6,457962,254837,74800,250,13600,42,exec-managerial,69500,Y
Trivial Damage,paintball,Vehicle Theft,?,WV,Police,410,2870,999.43,477947,634499,4100,286,820,41,prof-specialty,25800,N
Minor Damage,camping,Single Vehicle Collision,Side Collision,SC,Other,11180,44720,1155.97,431104,574707,61490,356,5590,47,prof-specialty,0,N
Trivial Damage,basketball,Vehicle Theft,?,VA,,1440,5040,1726.91,456570,476839,7200,65,720,29,other-service,0,N
Minor Damage,polo,Multi-vehicle Collision,Side Collision,NY,Fire,4100,32800,1232.57,612986,149601,45100,187,8200,34,machine-op-inspct,59500,N
Minor Damage,camping,Single Vehicle Collision,Front Collision,WV,Police,6060,48480,1078.65,615730,630683,66660,386,12120,53,craft-repair,36800,N
Major Damage,basketball,Single Vehicle Collision,Front Collision,NC,Police,7640,53480,1324.78,478640,500639,76400,197,15280,41,prof-specialty,0,Y
Total Loss,kayaking,Single Vehicle Collision,Rear Collision,PA,Ambulance,10600,37100,1518.54,470510,352120,58300,166,10600,37,craft-repair,0,N
Total Loss,skydiving,Single Vehicle Collision,Front Collision,SC,Police,10420,41680,1239.06,439360,569245,57310,293,5210,49,transport-moving,34900,N
Minor Damage,movies,Single Vehicle Collision,Front Collision,NY,Fire,5900,41300,1246.68,440251,907012,53100,179,5900,32,priv-house-serv,0,N
Total Loss,paintball,Multi-vehicle Collision,Side Collision,WV,Ambulance,7470,52290,1622.67,600313,700074,74700,76,14940,24,priv-house-serv,0,N
Major Damage,golf,Multi-vehicle Collision,Rear Collision,SC,Fire,6050,42350,1082.36,452216,866805,60500,105,12100,28,prof-specialty,0,N
Total Loss,chess,Multi-vehicle Collision,Side Collision,NC,Other,15440,61760,1270.55,478532,951863,84920,97,7720,26,protective-serv,0,Y
Total Loss,hiking,Single Vehicle Collision,Side Collision,PA,Police,11100,44400,1236.32,616929,211578,61050,148,5550,36,adm-clerical,55100,N
Major Damage,movies,Multi-vehicle Collision,Rear Collision,NY,Police,6280,50240,785.82,620207,357394,69080,77,12560,26,exec-managerial,49700,Y
Minor Damage,paintball,Vehicle Theft,?,VA,,380,3420,1265.84,605743,863749,4560,295,760,46,prof-specialty,52200,N
Total Loss,skydiving,Multi-vehicle Collision,Rear Collision,WV,Police,11300,45200,1508.9,472814,596914,67800,126,11300,28,machine-op-inspct,0,N
Minor Damage,reading,Vehicle Theft,?,SC,Police,560,3920,1106.84,464362,684653,5600,132,1120,32,other-service,43100,N
Minor Damage,basketball,Vehicle Theft,?,NC,,1800,6300,1389.13,456203,528259,9000,370,900,55,other-service,0,N
Total Loss,kayaking,Single Vehicle Collision,Rear Collision,VA,Police,7110,56880,974.84,468984,797636,85320,257,21330,43,transport-moving,52100,N
Trivial Damage,golf,Vehicle Theft,?,NC,,1080,4320,1304.46,473349,326180,5940,9,540,24,machine-op-inspct,51700,Y
Major Damage,movies,Multi-vehicle Collision,Side Collision,SC,Fire,4670,37360,1257.36,474771,620075,51370,185,9340,34,armed-forces,0,Y
Major Damage,reading,Single Vehicle Collision,Rear Collision,SC,Police,5160,36120,1257.04,448294,965187,51600,234,10320,43,protective-serv,0,N
Trivial Damage,golf,Parked Car,?,SC,,600,4200,719.52,606606,516182,5400,253,600,44,farming-fishing,45800,N
Minor Damage,reading,Multi-vehicle Collision,Rear Collision,SC,Fire,5430,38010,1524.18,605220,728839,48870,233,5430,39,craft-repair,0,N
Minor Damage,reading,Vehicle Theft,?,WV,Police,860,3870,1395.58,466612,771509,5590,274,860,44,tech-support,0,N
Major Damage,camping,Multi-vehicle Collision,Front Collision,NY,Other,0,48090,1243.68,463331,264221,54960,297,6870,48,protective-serv,0,Y
Minor Damage,video-games,Multi-vehicle Collision,Side Collision,VA,Police,3980,27860,1189.04,457843,602704,39800,273,7960,47,prof-specialty,59600,N
Major Damage,chess,Multi-vehicle Collision,Side Collision,SC,Ambulance,6240,43680,1375.29,609226,672416,56160,147,6240,37,armed-forces,0,Y
Total Loss,golf,Single Vehicle Collision,Side Collision,VA,Fire,10540,36890,1389.13,452942,545506,52700,285,5270,42,priv-house-serv,63100,N
Minor Damage,base-jumping,Multi-vehicle Collision,Side Collision,NY,Fire,7620,53340,1387.51,609390,777533,68580,289,7620,43,sales,0,N
Major Damage,board-games,Single Vehicle Collision,Side Collision,NY,Ambulance,19470,58410,1178.61,446608,953334,90860,427,12980,60,craft-repair,0,Y
Trivial Damage,bungie-jumping,Parked Car,?,NC,Police,570,4560,1166.62,602500,369781,5700,380,570,53,priv-house-serv,0,N
Total Loss,golf,Multi-vehicle Collision,Side Collision,NY,Police,8630,77670,1556.31,463809,990998,94930,13,8630,21,prof-specialty,0,N
Major Damage,video-games,Single Vehicle Collision,Side Collision,SC,Ambulance,9360,32760,1452.27,611996,982678,46800,282,4680,43,farming-fishing,75800,Y
Total Loss,polo,Multi-vehicle Collision,Side Collision,NY,Fire,7040,42240,1212.07,459298,646069,56320,312,7040,47,exec-managerial,66900,N
Minor Damage,chess,Single Vehicle Collision,Front Collision,WV,Fire,15180,60720,1578.54,468158,331683,83490,266,7590,46,handlers-cleaners,0,N
Total Loss,golf,Multi-vehicle Collision,Side Collision,WV,Police,5790,46320,1488.26,440831,364055,57900,30,5790,36,machine-op-inspct,0,N
Total Loss,kayaking,Multi-vehicle Collision,Rear Collision,SC,Fire,5490,38430,1096.39,603848,521854,49410,198,5490,36,armed-forces,0,N
Minor Damage,reading,Multi-vehicle Collision,Side Collision,WV,Fire,6620,52960,1215.36,617739,737252,66200,290,6620,45,tech-support,54400,N
Minor Damage,reading,Single Vehicle Collision,Front Collision,NY,Fire,10680,42720,1482.57,607133,344480,64080,260,10680,46,priv-house-serv,35000,N
Minor Damage,dancing,Multi-vehicle Collision,Side Collision,SC,Other,4250,29750,954.18,437470,898519,42500,233,8500,43,tech-support,0,N
Total Loss,bungie-jumping,Multi-vehicle Collision,Side Collision,SC,Other,4450,35600,1193.4,461372,957816,48950,130,8900,30,exec-managerial,0,N
Minor Damage,golf,Multi-vehicle Collision,Rear Collision,NY,Other,10700,37450,1023.11,476130,175960,58850,230,10700,42,adm-clerical,0,N
Minor Damage,golf,Multi-vehicle Collision,Side Collision,NY,Other,8240,65920,1524.45,452438,489618,82400,212,8240,40,other-service,73200,N
Minor Damage,bungie-jumping,Single Vehicle Collision,Rear Collision,WV,Ambulance,6780,40680,1653.32,460517,717044,54240,299,6780,44,other-service,0,N
Minor Damage,video-games,Multi-vehicle Collision,Front Collision,SC,Other,7420,59360,1022.46,444896,101421,74200,91,7420,26,armed-forces,52700,N
Total Loss,base-jumping,Single Vehicle Collision,Front Collision,WV,Fire,5270,36890,1396.43,448722,793948,47430,398,5270,53,priv-house-serv,21500,N
Major Damage,polo,Single Vehicle Collision,Rear Collision,SC,Fire,6820,47740,1521.55,477856,737483,68200,218,13640,43,priv-house-serv,61100,Y
Minor Damage,exercise,Single Vehicle Collision,Front Collision,NY,Fire,7100,49700,1034.27,617721,695117,63900,152,7100,33,armed-forces,0,N
Total Loss,skydiving,Multi-vehicle Collision,Rear Collision,NY,Ambulance,5930,41510,1255.35,454176,167466,59300,212,11860,39,protective-serv,60300,N
Minor Damage,chess,Multi-vehicle Collision,Front Collision,SC,Other,13380,46830,1396.89,618127,664732,66900,242,6690,44,priv-house-serv,0,Y
Major Damage,skydiving,Multi-vehicle Collision,Rear Collision,OH,Police,7420,29680,795.31,441923,143038,40810,80,3710,27,farming-fishing,0,Y
Total Loss,skydiving,Single Vehicle Collision,Front Collision,NY,Fire,7540,52780,982.22,604279,979963,75400,260,15080,43,exec-managerial,54500,N
Minor Damage,bungie-jumping,Parked Car,?,WV,,840,2940,1074.07,440833,467841,4200,133,420,34,prof-specialty,70900,N
Major Damage,chess,Multi-vehicle Collision,Side Collision,NY,Ambulance,5850,40950,1311.3,451550,219028,52650,290,5850,45,machine-op-inspct,38500,Y
Major Damage,kayaking,Single Vehicle Collision,Rear Collision,WV,Ambulance,7680,26880,1277.12,431853,130156,42240,322,7680,49,armed-forces,0,N
Minor Damage,reading,Single Vehicle Collision,Side Collision,NC,Other,6610,46270,1388.62,614274,762951,59490,228,6610,39,sales,35200,N
Major Damage,base-jumping,Single Vehicle Collision,Side Collision,SC,Ambulance,4420,35360,1406.52,619148,376879,44200,195,4420,37,tech-support,0,Y
Trivial Damage,reading,Vehicle Theft,?,WV,Police,1540,5390,1558.29,456781,599031,7700,247,770,39,protective-serv,0,N
Total Loss,exercise,Multi-vehicle Collision,Front Collision,NY,Other,10240,40960,1132.47,434293,676255,61440,405,10240,57,priv-house-serv,46300,N
Major Damage,sleeping,Multi-vehicle Collision,Rear Collision,SC,Fire,10880,38080,1896.91,460895,985446,54400,144,5440,37,handlers-cleaners,73700,Y
Total Loss,polo,Single Vehicle Collision,Front Collision,NC,Other,9760,39040,1143.46,601600,884180,58560,338,9760,47,priv-house-serv,0,N
Major Damage,video-games,Single Vehicle Collision,Front Collision,VA,Fire,6730,53840,1285.42,465440,571462,67300,121,6730,34,priv-house-serv,0,Y
Major Damage,skydiving,Single Vehicle Collision,Rear Collision,VA,Fire,6680,26720,1305.26,455482,815883,36740,398,3340,55,farming-fishing,66200,Y
Total Loss,dancing,Single Vehicle Collision,Rear Collision,NY,Police,15580,54530,1073.83,438877,258265,85690,9,15580,30,machine-op-inspct,0,N
Major Damage,bungie-jumping,Multi-vehicle Collision,Side Collision,WV,Ambulance,4270,29890,1051.67,479824,569714,34160,115,0,31,exec-managerial,0,Y
Minor Damage,paintball,Single Vehicle Collision,Front Collision,WV,Fire,10220,40880,1387.35,477415,180008,61320,280,10220,48,transport-moving,0,N
Total Loss,paintball,Multi-vehicle Collision,Rear Collision,NC,Police,13280,53120,1083.64,614372,633375,79680,254,13280,45,other-service,59800,N
Total Loss,exercise,Single Vehicle Collision,Front Collision,SC,Fire,6860,48020,1851.78,465248,556538,61740,141,6860,30,craft-repair,78800,N
Minor Damage,exercise,Parked Car,?,VA,,640,5120,1270.29,449421,669501,6400,441,640,55,armed-forces,24000,N
Major Damage,chess,Single Vehicle Collision,Rear Collision,SC,Fire,6060,42420,1459.99,445856,963761,60600,381,12120,55,other-service,35900,N
Major Damage,sleeping,Multi-vehicle Collision,Side Collision,VA,Ambulance,5120,40960,1253.44,608525,753005,56320,191,10240,38,craft-repair,0,N
Total Loss,sleeping,Single Vehicle Collision,Side Collision,NC,Ambulance,4750,38000,1142.48,608813,454758,52250,145,9500,34,priv-house-serv,0,N
Total Loss,camping,Multi-vehicle Collision,Rear Collision,SC,Other,10780,37730,1188.45,459295,698589,53900,479,5390,60,exec-managerial,0,N
Trivial Damage,yachting,Vehicle Theft,?,WV,,440,1980,1125.4,606144,330119,2640,215,220,35,adm-clerical,40000,N
Minor Damage,sleeping,Vehicle Theft,?,NC,,1380,6210,1294.41,476315,164464,8970,41,1380,33,transport-moving,0,N
Minor Damage,movies,Parked Car,?,NY,,1000,4000,1459.5,475891,927354,6000,45,1000,31,priv-house-serv,0,N
Major Damage,board-games,Multi-vehicle Collision,Front Collision,WV,Fire,5520,38640,1367.99,462525,231508,55200,156,11040,38,armed-forces,26500,Y
Trivial Damage,board-games,Parked Car,?,SC,,1320,5280,1594.37,606283,272910,7260,246,660,45,exec-managerial,0,N
Minor Damage,sleeping,Multi-vehicle Collision,Front Collision,NY,Police,11760,41160,1035.99,465252,305758,64680,178,11760,39,exec-managerial,0,N
Major Damage,basketball,Single Vehicle Collision,Rear Collision,WV,Police,11840,47360,911.53,449979,950542,59200,237,0,43,sales,53200,N
Minor Damage,paintball,Vehicle Theft,?,NC,,940,3290,1319.97,604681,291544,4700,127,470,34,craft-repair,73700,N
Total Loss,video-games,Single Vehicle Collision,Side Collision,NY,Other,6940,55520,1391.63,466390,388616,69400,1,6940,33,sales,61200,N
Total Loss,sleeping,Single Vehicle Collision,Side Collision,NY,Police,4050,32400,915.41,612316,577992,40500,5,4050,21,exec-managerial,0,N
Minor Damage,skydiving,Multi-vehicle Collision,Side Collision,SC,Fire,10000,45000,1468.82,474731,342830,60000,64,5000,28,handlers-cleaners,56800,N
Minor Damage,basketball,Single Vehicle Collision,Side Collision,WV,Other,11220,44880,1412.76,603260,491170,67320,142,11220,30,armed-forces,66400,N
Total Loss,movies,Multi-vehicle Collision,Side Collision,VA,Other,8410,58870,1588.26,434370,175553,75690,97,8410,27,tech-support,56700,N
Major Damage,paintball,Multi-vehicle Collision,Side Collision,VA,Fire,6430,51440,1140.91,478388,439341,64300,121,6430,31,adm-clerical,51300,Y
Major Damage,camping,Multi-vehicle Collision,Rear Collision,SC,Police,6440,51520,1517.54,617883,221186,64400,225,6440,43,priv-house-serv,0,N
Minor Damage,paintball,Multi-vehicle Collision,Front Collision,WV,Fire,16180,64720,912.29,464808,868031,97080,425,16180,53,priv-house-serv,42900,N
Minor Damage,base-jumping,Vehicle Theft,?,WV,Police,500,4500,1144.3,609458,844117,5500,285,500,44,priv-house-serv,52600,N
Total Loss,skydiving,Multi-vehicle Collision,Rear Collision,SC,Other,6140,21490,1281.43,432405,744557,30700,192,3070,38,transport-moving,65100,N
Minor Damage,dancing,Single Vehicle Collision,Side Collision,PA,Police,3720,26040,1101.85,457875,159536,33480,285,3720,48,sales,46100,N
Total Loss,kayaking,Multi-vehicle Collision,Front Collision,WV,Police,7270,43620,1082.1,477268,727109,65430,98,14540,26,exec-managerial,0,N
Major Damage,kayaking,Multi-vehicle Collision,Rear Collision,NC,Police,7760,31040,1185.44,437580,155604,42680,175,3880,36,exec-managerial,44900,Y
Minor Damage,movies,Single Vehicle Collision,Side Collision,WV,Fire,7980,71820,1175.07,457121,608443,87780,259,7980,45,craft-repair,30100,N
Major Damage,cross-fit,Multi-vehicle Collision,Front Collision,NY,Fire,14560,43680,979.26,436364,117862,72800,140,14560,36,transport-moving,0,N
Major Damage,chess,Single Vehicle Collision,Rear Collision,SC,Fire,7910,63280,920.81,467654,991553,71190,231,0,37,sales,0,Y
Trivial Damage,golf,Vehicle Theft,?,NY,,400,2800,922.85,471148,727443,3600,186,400,38,adm-clerical,70300,N
Major Damage,chess,Single Vehicle Collision,Side Collision,NY,Other,10440,41760,1107.59,468202,378587,62640,229,10440,41,tech-support,65400,N
Minor Damage,exercise,Multi-vehicle Collision,Front Collision,NY,Ambulance,6330,50640,1272.46,456959,420948,69630,180,12660,36,prof-specialty,0,N
Minor Damage,chess,Multi-vehicle Collision,Rear Collision,NY,Police,6910,55280,1340.24,447274,457188,76010,188,13820,33,protective-serv,0,Y
Total Loss,base-jumping,Single Vehicle Collision,Rear Collision,WV,Other,4020,32160,1648.0,608405,118236,44220,214,8040,40,transport-moving,57700,N
Minor Damage,camping,Multi-vehicle Collision,Rear Collision,NY,Other,10400,41600,1381.14,472253,987524,57200,178,5200,38,other-service,0,N
Minor Damage,polo,Vehicle Theft,?,WV,Police,560,1960,1198.44,438923,490596,3080,55,560,35,priv-house-serv,0,N
Total Loss,hiking,Single Vehicle Collision,Rear Collision,SC,Other,6890,55120,951.27,607131,524215,75790,90,13780,31,other-service,42100,N
Minor Damage,skydiving,Multi-vehicle Collision,Rear Collision,WV,Ambulance,2970,23760,1341.24,601701,913464,32670,135,5940,30,farming-fishing,37100,N
Minor Damage,video-games,Vehicle Theft,?,VA,Police,860,2580,1177.57,469220,398484,3870,277,430,46,adm-clerical,0,N
Total Loss,video-games,Single Vehicle Collision,Front Collision,NY,Fire,16640,66560,1055.09,433250,752504,91520,211,8320,38,transport-moving,0,Y
Major Damage,bungie-jumping,Single Vehicle Collision,Front Collision,NY,Other,13580,54320,1479.48,444413,449263,74690,156,6790,32,prof-specialty,0,Y
Trivial Damage,polo,Vehicle Theft,?,VA,Police,840,3360,1827.38,433593,844007,4620,84,420,30,priv-house-serv,0,N
Major Damage,yachting,Single Vehicle Collision,Side Collision,SC,Police,10000,35000,1169.62,458143,686522,55000,136,10000,32,sales,0,Y
Major Damage,sleeping,Multi-vehicle Collision,Rear Collision,SC,Police,6600,39600,1516.34,474167,670142,59400,310,13200,48,adm-clerical,11000,Y
Total Loss,sleeping,Multi-vehicle Collision,Side Collision,PA,Fire,0,49120,1270.21,476413,607687,55260,123,6140,34,sales,16100,N
Minor Damage,polo,Multi-vehicle Collision,Side Collision,NC,Other,10280,35980,809.11,600208,967713,51400,243,5140,44,craft-repair,33200,N
Minor Damage,reading,Multi-vehicle Collision,Side Collision,NY,Ambulance,10840,32520,1115.81,618926,291902,48780,36,5420,37,machine-op-inspct,0,N
Major Damage,camping,Multi-vehicle Collision,Rear Collision,VA,Ambulance,5820,40740,1457.65,606219,149839,52380,146,5820,31,armed-forces,0,N
Total Loss,cross-fit,Multi-vehicle Collision,Side Collision,WV,Other,13520,47320,1041.36,448436,840225,74360,154,13520,34,priv-house-serv,53100,Y
Minor Damage,polo,Single Vehicle Collision,Front Collision,NY,Police,5340,42720,1693.83,447976,643226,53400,204,5340,40,protective-serv,44000,N
Total Loss,hiking,Single Vehicle Collision,Front Collision,VA,Police,14360,43080,1685.69,472236,535879,71800,458,14360,59,protective-serv,31400,N
Major Damage,exercise,Single Vehicle Collision,Front Collision,NY,Other,0,59710,1054.92,468232,746630,68240,147,8530,31,prof-specialty,51900,Y
Major Damage,bungie-jumping,Multi-vehicle Collision,Rear Collision,SC,Other,11100,38850,1333.97,620819,598308,61050,279,11100,45,other-service,61100,Y
Minor Damage,movies,Parked Car,?,NY,,860,3870,1013.61,452349,720356,5590,308,860,47,craft-repair,45700,N
Major Damage,exercise,Multi-vehicle Collision,Side Collision,NY,Fire,8520,29820,958.3,464646,724752,46860,284,8520,48,machine-op-inspct,47900,N
Minor Damage,base-jumping,Parked Car,?,SC,,780,2730,1112.04,472209,148498,4290,108,780,31,other-service,52800,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Front Collision,NC,Police,7850,54950,1206.26,459955,110122,78500,421,15700,57,armed-forces,69900,N
Total Loss,movies,Single Vehicle Collision,Side Collision,SC,Police,7870,55090,763.67,473389,281388,70830,266,7870,42,prof-specialty,12800,N
Total Loss,yachting,Multi-vehicle Collision,Front Collision,SC,Police,7560,45360,1042.56,616767,728600,68040,412,15120,56,handlers-cleaners,0,N
Major Damage,hiking,Single Vehicle Collision,Side Collision,WV,Fire,10600,47700,1263.48,442948,231548,63600,31,5300,32,other-service,46800,Y
Minor Damage,board-games,Single Vehicle Collision,Side Collision,WV,Other,4840,33880,1006.99,458936,531160,43560,465,4840,63,sales,0,N
Total Loss,exercise,Single Vehicle Collision,Front Collision,WV,Police,6760,40560,1328.26,613921,889003,60840,126,13520,31,sales,42300,N
Total Loss,bungie-jumping,Multi-vehicle Collision,Side Collision,WV,Police,11360,45440,1250.08,474598,193213,68160,407,11360,55,tech-support,0,N
Minor Damage,video-games,Parked Car,?,SC,,470,3760,982.7,440865,557218,5170,101,940,27,transport-moving,30800,N
Total Loss,reading,Single Vehicle Collision,Side Collision,NC,Ambulance,5770,46160,1412.06,450947,125591,57700,187,5770,37,protective-serv,60100,N
Total Loss,sleeping,Multi-vehicle Collision,Front Collision,VA,Other,14920,59680,1066.7,473370,227244,89520,252,14920,46,handlers-cleaners,0,N
Minor Damage,reading,Vehicle Theft,?,WV,,840,3360,1585.54,463153,791425,4620,229,420,43,protective-serv,42600,N
Minor Damage,yachting,Single Vehicle Collision,Rear Collision,WV,Ambulance,5020,35140,1416.08,612546,354455,45180,246,5020,39,craft-repair,0,N
Total Loss,movies,Single Vehicle Collision,Side Collision,NY,Other,4510,31570,1246.03,442919,601042,45100,190,9020,38,craft-repair,61900,N
Total Loss,golf,Multi-vehicle Collision,Side Collision,SC,Police,15120,52920,1356.64,449352,433663,83160,95,15120,32,machine-op-inspct,67800,N
Minor Damage,skydiving,Single Vehicle Collision,Rear Collision,WV,Police,15660,54810,1387.7,470104,471938,86130,205,15660,42,priv-house-serv,0,N
Major Damage,sleeping,Multi-vehicle Collision,Front Collision,NC,Fire,4800,33600,1004.14,459889,564654,48000,41,9600,25,priv-house-serv,35400,N
Minor Damage,movies,Vehicle Theft,?,VA,Police,600,2100,1107.07,478868,645723,3300,137,600,35,protective-serv,0,N
Minor Damage,board-games,Multi-vehicle Collision,Rear Collision,NY,Ambulance,5720,40040,1429.96,463307,573572,57200,194,11440,34,protective-serv,67800,N
Trivial Damage,bungie-jumping,Vehicle Theft,?,VA,Police,690,5520,1074.99,453620,437960,7590,128,1380,35,adm-clerical,0,N
Total Loss,board-games,Single Vehicle Collision,Rear Collision,VA,Police,12320,55440,1007.0,466238,649800,80080,150,12320,37,transport-moving,30400,N
Minor Damage,skydiving,Vehicle Theft,?,WV,Police,480,3360,1052.85,607697,544225,4800,104,960,30,protective-serv,0,N
Minor Damage,cross-fit,Vehicle Theft,?,WV,Police,780,2730,1200.33,477631,390256,3900,163,390,37,craft-repair,0,Y
Minor Damage,camping,Single Vehicle Collision,Front Collision,SC,Other,9040,72320,1343.0,443625,488597,90400,80,9040,26,handlers-cleaners,64600,N
Minor Damage,kayaking,Multi-vehicle Collision,Rear Collision,NC,Other,12580,44030,1441.6,472223,133889,62900,65,6290,29,sales,0,N
Major Damage,base-jumping,Single Vehicle Collision,Rear Collision,NC,Police,10840,37940,1433.42,608328,931901,54200,179,5420,32,protective-serv,53800,Y
